route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,1,"30TH ST. PHL.",0,"4652",1
1,2,2,"30TH ST. PHL.",0,"4662",2
1,2,3,"30TH ST. PHL.",0,"4664",3
1,2,4,"30TH ST. PHL.",0,"4668",4
1,2,5,"30TH ST. PHL.",0,"4670",5
1,2,6,"30TH ST. PHL.",0,"4674",6
1,2,7,"30TH ST. PHL.",0,"4678",7
1,2,8,"30TH ST. PHL.",0,"4680",8
1,2,9,"30TH ST. PHL.",0,"4682",9
1,2,10,"30TH ST. PHL.",0,"4684",10
1,2,11,"30TH ST. PHL.",0,"4688",11
1,2,12,"30TH ST. PHL.",0,"4692",12
1,3,13,"30TH ST. PHL.",0,"4600",13
1,4,14,"30TH ST. PHL.",0,"4608",14
1,4,15,"30TH ST. PHL.",0,"4612",15
1,4,16,"30TH ST. PHL.",0,"4616",16
1,4,17,"30TH ST. PHL.",0,"4620",17
1,4,18,"30TH ST. PHL.",0,"4624",18
1,4,19,"30TH ST. PHL.",0,"4628",19
1,4,20,"30TH ST. PHL.",0,"4630",20
1,4,21,"30TH ST. PHL.",0,"4632",21
1,4,22,"30TH ST. PHL.",0,"4634",22
1,4,23,"30TH ST. PHL.",0,"4638",23
1,4,24,"30TH ST. PHL.",0,"4642",24
1,4,25,"ATLANTIC CITY",1,"4651",25
1,2,26,"ATLANTIC CITY",1,"4661",26
1,2,27,"ATLANTIC CITY",1,"4669",27
1,2,28,"ATLANTIC CITY",1,"4671",28
1,2,29,"ATLANTIC CITY",1,"4673",29
1,2,30,"ATLANTIC CITY",1,"4677",30
1,2,31,"ATLANTIC CITY",1,"4679",31
1,2,32,"ATLANTIC CITY",1,"4683",32
1,2,33,"ATLANTIC CITY",1,"4685",33
1,2,34,"ATLANTIC CITY",1,"4687",34
1,2,35,"ATLANTIC CITY",1,"4689",35
1,2,36,"ATLANTIC CITY",1,"4693",36
1,2,37,"ATLANTIC CITY",1,"4697",37
1,4,38,"ATLANTIC CITY",1,"4611",38
1,4,39,"ATLANTIC CITY",1,"4613",39
1,4,40,"ATLANTIC CITY",1,"4617",40
1,4,41,"ATLANTIC CITY",1,"4623",41
1,4,42,"ATLANTIC CITY",1,"4627",42
1,4,43,"ATLANTIC CITY",1,"4631",43
1,4,44,"ATLANTIC CITY",1,"4633",44
1,4,45,"ATLANTIC CITY",1,"4635",45
1,4,46,"ATLANTIC CITY",1,"4639",46
1,4,47,"ATLANTIC CITY",1,"4641",47
1,4,48,"ATLANTIC CITY",1,"4643",48
2,5,49,"HOBOKEN",0,"1090",49
2,5,50,"HOBOKEN",0,"1092",50
2,5,51,"HOBOKEN",0,"1094",51
2,4,52,"HOBOKEN",0,"1002",52
2,4,53,"HOBOKEN",0,"1000",53
2,4,54,"HOBOKEN",0,"1070",54
2,4,55,"HOBOKEN",0,"1006",55
2,4,56,"HOBOKEN",0,"1074",56
2,4,57,"LAKE HOPATCONG",1,"1043",57
2,5,58,"LAKE HOPATCONG",1,"1091",58
2,5,59,"LAKE HOPATCONG",1,"1093",59
2,5,60,"LAKE HOPATCONG",1,"1095",60
2,4,61,"DENVILLE",1,"1009",61
2,4,62,"MOUNT OLIVE",1,"1055",62
2,4,63,"DENVILLE",1,"1003",63
2,4,64,"LAKE HOPATCONG",1,"1011",64
2,4,65,"DOVER",1,"1001",65
2,4,66,"HACKETTSTOWN",1,"1079",66
2,4,67,"MOUNT OLIVE",1,"1061",67
2,4,68,"HACKETTSTOWN",1,"1085",68
2,4,69,"HACKETTSTOWN",1,"1087",69
3,5,70,"NEW YORK PENN STATION",0,"9200",70
3,5,71,"NEW YORK PENN STATION",0,"9202",71
3,5,72,"NEW YORK PENN STATION",0,"9204",72
3,5,73,"HOBOKEN",0,"9530",73
3,6,74,"HOBOKEN",0,"0544",74
3,7,75,"HOBOKEN",0,"0530",75
3,2,76,"HOBOKEN",0,"0510",76
3,2,77,"HOBOKEN",0,"0514",77
3,2,78,"HOBOKEN",0,"0518",78
3,2,79,"HOBOKEN",0,"0522",79
3,2,80,"HOBOKEN",0,"0526",80
3,2,81,"HOBOKEN",0,"0534",81
3,2,82,"HOBOKEN",0,"0538",82
3,4,83,"HOBOKEN",0,"0262",83
3,4,84,"NEW YORK PENN STATION",0,"6210",84
3,4,85,"HOBOKEN",0,"0250",85
3,4,86,"NEW YORK PENN STATION",0,"6252",86
3,4,87,"NEW YORK PENN STATION",0,"6278",87
3,4,88,"NEW YORK PENN STATION",0,"6280",88
3,4,89,"HOBOKEN",0,"0204",89
3,4,90,"HOBOKEN",0,"0208",90
3,4,91,"HOBOKEN",0,"0212",91
3,4,92,"NEW YORK PENN STATION",0,"6204",92
3,4,93,"NEW YORK PENN STATION",0,"6214",93
3,4,94,"NEW YORK PENN STATION",0,"6202",94
3,4,95,"NEW YORK PENN STATION",0,"6206",95
3,4,96,"NEW YORK PENN STATION",0,"6216",96
3,4,97,"NEW YORK PENN STATION",0,"6226",97
3,4,98,"NEW YORK PENN STATION",0,"6230",98
3,4,99,"NEW YORK PENN STATION",0,"6238",99
3,4,100,"NEW YORK PENN STATION",0,"6242",100
3,4,101,"NEW YORK PENN STATION",0,"6248",101
3,4,102,"NEW YORK PENN STATION",0,"6258",102
3,4,103,"NEW YORK PENN STATION",0,"6264",103
3,4,104,"NEW YORK PENN STATION",0,"6274",104
3,4,105,"NEW YORK PENN STATION",0,"6222",105
3,4,106,"NEW YORK PENN STATION",0,"6234",106
3,4,107,"NEW YORK PENN STATION",0,"6270",107
3,4,108,"NEW YORK PENN STATION",0,"6200",108
3,4,109,"MSU",1,"6201",109
3,5,110,"MSU",1,"9225",110
3,5,111,"MSU",1,"9227",111
3,5,112,"MSU",1,"9229",112
3,6,113,"BAY STREET",1,"0509",113
3,2,114,"BAY STREET",1,"0513",114
3,2,115,"BAY STREET",1,"0515",115
3,2,116,"BAY STREET",1,"0519",116
3,2,117,"BAY STREET",1,"0523",117
3,2,118,"BAY STREET",1,"0527",118
3,2,119,"BAY STREET",1,"0531",119
3,2,120,"BAY STREET",1,"0535",120
3,2,121,"BAY STREET",1,"0539",121
3,2,122,"BAY STREET",1,"0545",122
3,4,123,"MSU",1,"0211",123
3,4,124,"MSU",1,"6263",124
3,4,125,"MSU",1,"6213",125
3,4,126,"MSU",1,"0267",126
3,4,127,"MSU",1,"0275",127
3,4,128,"MSU",1,"6273",128
3,4,129,"MSU",1,"6279",129
3,4,130,"MSU",1,"6227",130
3,4,131,"MSU",1,"6233",131
3,4,132,"MSU",1,"6219",132
3,4,133,"MSU",1,"6237",133
3,4,134,"MSU",1,"6241",134
3,4,135,"MSU",1,"6245",135
3,4,136,"MSU",1,"6251",136
3,4,137,"MSU",1,"6253",137
3,4,138,"MSU",1,"6283",138
3,4,139,"MSU",1,"6291",139
3,4,140,"MSU",1,"6293",140
3,4,141,"MSU",1,"6295",141
3,4,142,"MSU",1,"6297",142
3,4,143,"MSU",1,"6299",143
3,4,144,"MSU",1,"6231",144
3,4,145,"MSU",1,"6209",145
3,4,146,"MSU",1,"0209",146
3,4,147,"MSU",1,"6215",147
4,8,148,"HBLR TONNELLE",0,"342JC005",148
4,8,149,"HBLR TONNELLE",0,"342JC009",148
4,8,150,"HBLR TONNELLE",0,"342JC001",148
4,8,151,"HBLR TONNELLE",0,"342JC007",148
4,8,152,"HBLR TONNELLE",0,"342JC003",148
4,8,153,"HBLR TONNELLE",0,"342JC005",148
4,8,154,"HBLR TONNELLE",0,"342JC009",148
4,8,155,"HBLR TONNELLE",0,"342JC001",148
4,8,156,"HBLR TONNELLE",0,"342JC007",148
4,8,157,"HBLR TONNELLE",0,"342JC003",148
4,8,158,"HBLR TONNELLE",0,"342JC005",148
4,8,159,"HBLR TONNELLE",0,"342JC009",148
4,8,160,"HBLR TONNELLE",0,"342JC001",148
4,8,161,"HBLR TONNELLE",0,"342JC007",148
4,8,162,"HBLR TONNELLE",0,"342JC003",148
4,8,163,"HBLR TONNELLE",0,"342JC005",148
4,8,164,"HBLR TONNELLE",0,"342JC009",148
4,8,165,"HBLR TONNELLE",0,"342JC001",148
4,8,166,"HBLR TONNELLE",0,"342JC007",148
4,8,167,"HBLR TONNELLE",0,"342JC003",148
4,8,168,"HBLR TONNELLE",0,"342JC005",148
4,8,169,"HBLR TONNELLE",0,"342JC009",148
4,8,170,"HBLR TONNELLE",0,"342JC001",148
4,8,171,"HBLR TONNELLE",0,"342JC007",148
4,8,172,"HBLR TONNELLE",0,"342JC003",148
4,8,173,"HBLR TONNELLE",0,"342JC005",148
4,8,174,"HBLR TONNELLE",0,"342JC009",148
4,8,175,"HBLR TONNELLE",0,"342JC001",148
4,8,176,"HBLR TONNELLE",0,"342JC007",148
4,8,177,"HBLR TONNELLE",0,"342JC003",148
4,8,178,"HBLR TONNELLE",0,"342JC005",148
4,8,179,"HBLR TONNELLE",0,"342JC009",148
4,8,180,"HBLR TONNELLE",0,"342JC001",148
4,8,181,"HBLR TONNELLE",0,"342JC007",148
4,8,182,"HBLR TONNELLE",0,"342JC003",148
4,8,183,"HBLR TONNELLE",0,"342JC005",148
4,8,184,"HBLR TONNELLE",0,"342JC009",148
4,8,185,"HBLR TONNELLE",0,"342JC001",148
4,8,186,"HBLR TONNELLE",0,"342JC007",148
4,8,187,"HBLR TONNELLE",0,"342JC003",148
4,8,188,"HBLR TONNELLE",0,"342JC005",148
4,8,189,"HBLR TONNELLE",0,"342JC009",148
4,8,190,"HBLR TONNELLE",0,"342JC001",148
4,8,191,"HBLR TONNELLE",0,"342JC007",148
4,8,192,"HBLR TONNELLE",0,"342JC003",148
4,8,193,"HBLR TONNELLE",0,"342JC005",148
4,8,194,"HBLR TONNELLE",0,"342JC009",148
4,8,195,"HBLR TONNELLE",0,"342JC001",148
4,8,196,"HBLR TONNELLE",0,"342JC007",148
4,8,197,"HBLR TONNELLE",0,"342JC003",148
4,8,198,"HBLR TONNELLE",0,"342JC005",148
4,8,199,"HBLR TONNELLE",0,"342JC009",148
4,8,200,"HBLR TONNELLE",0,"342JC001",148
4,8,201,"HBLR TONNELLE",0,"342JC007",148
4,8,202,"HBLR TONNELLE",0,"342JC003",148
4,8,203,"HBLR TONNELLE",0,"342JC005",148
4,8,204,"HBLR TONNELLE",0,"342JC001",148
4,8,205,"HBLR TONNELLE",0,"342JC003",149
4,8,206,"HBLR HOBOKEN",0,"342JC002",150
4,8,207,"HBLR HOBOKEN",0,"342JC004",150
4,8,208,"HBLR HOBOKEN",0,"342JC008",150
4,8,209,"HBLR HOBOKEN",0,"342JC006",151
4,8,210,"HBLR HOBOKEN",0,"342JC002",151
4,8,211,"HBLR HOBOKEN",0,"342JC004",151
4,8,212,"HBLR HOBOKEN",0,"342JC008",151
4,8,213,"HBLR HOBOKEN",0,"342JC006",151
4,8,214,"HBLR HOBOKEN",0,"342JC002",151
4,8,215,"HBLR HOBOKEN",0,"342JC004",151
4,8,216,"HBLR HOBOKEN",0,"342JC008",151
4,8,217,"HBLR HOBOKEN",0,"342JC006",151
4,8,218,"HBLR HOBOKEN",0,"342JC002",151
4,8,219,"HBLR HOBOKEN",0,"342JC004",151
4,8,220,"HBLR HOBOKEN",0,"342JC008",151
4,8,221,"HBLR HOBOKEN",0,"342JC006",151
4,8,222,"HBLR HOBOKEN",0,"342JC002",151
4,8,223,"HBLR HOBOKEN",0,"342JC004",151
4,8,224,"HBLR HOBOKEN",0,"342JC008",151
4,8,225,"HBLR HOBOKEN",0,"342JC006",151
4,8,226,"HBLR HOBOKEN",0,"342JC002",151
4,8,227,"HBLR HOBOKEN",0,"342JC004",151
4,8,228,"HBLR HOBOKEN",0,"342JC008",151
4,8,229,"HBLR HOBOKEN",0,"342JC006",151
4,8,230,"HBLR HOBOKEN",0,"342JC002",151
4,8,231,"HBLR HOBOKEN",0,"342JC004",151
4,8,232,"HBLR HOBOKEN",0,"342JC008",151
4,8,233,"HBLR HOBOKEN",0,"342JC006",151
4,8,234,"HBLR HOBOKEN",0,"342JC002",151
4,8,235,"HBLR HOBOKEN",0,"342JC004",151
4,8,236,"HBLR HOBOKEN",0,"342JC008",151
4,8,237,"HBLR HOBOKEN",0,"342JC006",151
4,8,238,"HBLR HOBOKEN",0,"342JC002",151
4,8,239,"HBLR HOBOKEN",0,"342JC004",151
4,8,240,"HBLR HOBOKEN",0,"342JC008",151
4,8,241,"HBLR HOBOKEN",0,"342JC006",151
4,8,242,"HBLR HOBOKEN",0,"342JC002",151
4,8,243,"HBLR HOBOKEN",0,"342JC004",151
4,8,244,"HBLR HOBOKEN",0,"342JC008",151
4,8,245,"HBLR HOBOKEN",0,"342JC006",151
4,8,246,"HBLR HOBOKEN",0,"342JC002",151
4,8,247,"HBLR HOBOKEN",0,"342JC004",151
4,8,248,"HBLR HOBOKEN",0,"342JC008",151
4,8,249,"HBLR HOBOKEN",0,"342JC006",151
4,8,250,"HBLR HOBOKEN",0,"342JC002",151
4,8,251,"HBLR HOBOKEN",0,"342JC004",151
4,8,252,"HBLR HOBOKEN",0,"342JC008",151
4,8,253,"HBLR HOBOKEN",0,"342JC006",151
4,8,254,"HBLR HOBOKEN",0,"342JC002",151
4,8,255,"HBLR HOBOKEN",0,"342JC004",151
4,8,256,"HBLR HOBOKEN",0,"342JC008",151
4,8,257,"HBLR HOBOKEN",0,"342JC006",151
4,8,258,"HBLR HOBOKEN",0,"342JC002",151
4,8,259,"HBLR HOBOKEN",0,"342JC004",151
4,8,260,"HBLR HOBOKEN",0,"342JC008",151
4,8,261,"HBLR HOBOKEN",0,"342JC006",151
4,8,262,"HBLR HOBOKEN",0,"342JC002",151
4,8,263,"HBLR HOBOKEN",0,"342JC004",151
4,8,264,"HBLR HOBOKEN",0,"342JC006",151
4,8,265,"HBLR HOBOKEN",0,"342JC002",151
4,8,266,"HBLR WEST SIDE",1,"342JC001",152
4,8,267,"HBLR WEST SIDE",1,"342JC007",152
4,8,268,"HBLR WEST SIDE",1,"342JC003",152
4,8,269,"HBLR WEST SIDE",1,"342JC005",152
4,8,270,"HBLR WEST SIDE",1,"342JC009",152
4,8,271,"HBLR WEST SIDE",1,"342JC001",152
4,8,272,"HBLR WEST SIDE",1,"342JC007",152
4,8,273,"HBLR WEST SIDE",1,"342JC003",152
4,8,274,"HBLR WEST SIDE",1,"342JC005",152
4,8,275,"HBLR WEST SIDE",1,"342JC009",152
4,8,276,"HBLR WEST SIDE",1,"342JC001",152
4,8,277,"HBLR WEST SIDE",1,"342JC007",152
4,8,278,"HBLR WEST SIDE",1,"342JC003",152
4,8,279,"HBLR WEST SIDE",1,"342JC005",152
