service_id,date,exception_type
1,20150529,1
1,20150530,1
1,20150605,1
1,20150606,1
1,20150612,1
1,20150613,1
1,20150619,1
1,20150620,1
1,20150626,1
1,20150627,1
1,20150702,1
1,20150703,1
1,20150704,1
1,20150710,1
1,20150711,1
1,20150717,1
1,20150718,1
1,20150724,1
1,20150725,1
1,20150731,1
1,20150801,1
1,20150807,1
1,20150808,1
1,20150814,1
1,20150815,1
1,20150821,1
1,20150822,1
1,20150828,1
1,20150829,1
1,20150904,1
1,20150905,1
1,20150906,1
1,20150911,1
1,20150912,1
1,20150918,1
1,20150919,1
1,20150925,1
1,20150926,1
1,20151002,1
1,20151003,1
1,20151009,1
1,20151010,1
1,20151016,1
1,20151017,1
1,20151023,1
1,20151024,1
1,20151030,1
1,20151031,1
1,20151106,1
1,20151107,1
1,20151113,1
1,20151114,1
1,20151120,1
2,20150530,1
2,20150531,1
2,20150606,1
2,20150607,1
2,20150613,1
2,20150614,1
2,20150620,1
2,20150621,1
2,20150627,1
2,20150628,1
2,20150703,1
2,20150704,1
2,20150705,1
2,20150711,1
2,20150712,1
2,20150718,1
2,20150719,1
2,20150725,1
2,20150726,1
2,20150801,1
2,20150802,1
2,20150808,1
2,20150809,1
2,20150815,1
2,20150816,1
2,20150822,1
2,20150823,1
2,20150829,1
2,20150830,1
2,20150905,1
2,20150906,1
2,20150907,1
2,20150912,1
2,20150913,1
2,20150919,1
2,20150920,1
2,20150926,1
2,20150927,1
2,20151003,1
2,20151004,1
2,20151010,1
2,20151011,1
2,20151017,1
2,20151018,1
2,20151024,1
2,20151025,1
2,20151031,1
2,20151101,1
2,20151107,1
2,20151108,1
2,20151114,1
2,20151115,1
2,20151121,1
3,20150531,1
3,20150601,1
3,20150602,1
3,20150603,1
3,20150604,1
3,20150607,1
3,20150608,1
3,20150609,1
3,20150610,1
3,20150611,1
3,20150614,1
3,20150615,1
3,20150616,1
3,20150617,1
3,20150618,1
3,20150621,1
3,20150622,1
3,20150623,1
3,20150624,1
3,20150625,1
3,20150628,1
3,20150629,1
3,20150630,1
3,20150701,1
3,20150705,1
3,20150706,1
3,20150707,1
3,20150708,1
3,20150709,1
3,20150712,1
3,20150713,1
3,20150714,1
3,20150715,1
3,20150716,1
3,20150719,1
3,20150720,1
3,20150721,1
3,20150722,1
3,20150723,1
3,20150726,1
3,20150727,1
3,20150728,1
3,20150729,1
3,20150730,1
3,20150802,1
3,20150803,1
3,20150804,1
3,20150805,1
3,20150806,1
3,20150809,1
3,20150810,1
3,20150811,1
3,20150812,1
3,20150813,1
3,20150816,1
3,20150817,1
3,20150818,1
3,20150819,1
3,20150820,1
3,20150823,1
3,20150824,1
3,20150825,1
3,20150826,1
3,20150827,1
3,20150830,1
3,20150831,1
3,20150901,1
3,20150902,1
3,20150903,1
3,20150907,1
3,20150908,1
3,20150909,1
3,20150910,1
3,20150913,1
3,20150914,1
3,20150915,1
3,20150916,1
3,20150917,1
3,20150920,1
3,20150921,1
3,20150922,1
3,20150923,1
3,20150924,1
3,20150927,1
3,20150928,1
3,20150929,1
3,20150930,1
3,20151001,1
3,20151004,1
3,20151005,1
3,20151006,1
3,20151007,1
3,20151008,1
3,20151011,1
3,20151012,1
3,20151013,1
3,20151014,1
3,20151015,1
3,20151018,1
3,20151019,1
3,20151020,1
3,20151021,1
3,20151022,1
3,20151025,1
3,20151026,1
3,20151027,1
3,20151028,1
3,20151029,1
3,20151101,1
3,20151102,1
3,20151103,1
3,20151104,1
3,20151105,1
3,20151108,1
3,20151109,1
3,20151110,1
3,20151111,1
3,20151112,1
3,20151115,1
3,20151116,1
3,20151117,1
3,20151118,1
3,20151119,1
4,20150529,1
4,20150601,1
4,20150602,1
4,20150603,1
4,20150604,1
4,20150605,1
4,20150608,1
4,20150609,1
4,20150610,1
4,20150611,1
4,20150612,1
4,20150615,1
4,20150616,1
4,20150617,1
4,20150618,1
4,20150619,1
4,20150622,1
4,20150623,1
4,20150624,1
4,20150625,1
4,20150626,1
4,20150629,1
4,20150630,1
4,20150701,1
4,20150702,1
4,20150706,1
4,20150707,1
4,20150708,1
4,20150709,1
4,20150710,1
4,20150713,1
4,20150714,1
4,20150715,1
4,20150716,1
4,20150717,1
4,20150720,1
4,20150721,1
4,20150722,1
4,20150723,1
4,20150724,1
4,20150727,1
4,20150728,1
4,20150729,1
4,20150730,1
4,20150731,1
4,20150803,1
4,20150804,1
4,20150805,1
4,20150806,1
4,20150807,1
4,20150810,1
4,20150811,1
4,20150812,1
4,20150813,1
4,20150814,1
4,20150817,1
4,20150818,1
4,20150819,1
4,20150820,1
4,20150821,1
4,20150824,1
4,20150825,1
4,20150826,1
4,20150827,1
4,20150828,1
4,20150831,1
4,20150901,1
4,20150902,1
4,20150903,1
4,20150904,1
4,20150908,1
4,20150909,1
4,20150910,1
4,20150911,1
4,20150914,1
4,20150915,1
4,20150916,1
4,20150917,1
4,20150918,1
4,20150921,1
4,20150922,1
4,20150923,1
4,20150924,1
4,20150925,1
4,20150928,1
4,20150929,1
4,20150930,1
4,20151001,1
4,20151002,1
4,20151005,1
4,20151006,1
4,20151007,1
4,20151008,1
4,20151009,1
4,20151012,1
4,20151013,1
4,20151014,1
4,20151015,1
4,20151016,1
4,20151019,1
4,20151020,1
4,20151021,1
4,20151022,1
4,20151023,1
4,20151026,1
4,20151027,1
4,20151028,1
4,20151029,1
4,20151030,1
4,20151102,1
4,20151103,1
4,20151104,1
4,20151105,1
4,20151106,1
4,20151109,1
4,20151110,1
4,20151111,1
4,20151112,1
4,20151113,1
4,20151116,1
4,20151117,1
4,20151118,1
4,20151119,1
4,20151120,1
5,20150703,1
6,20150530,1
6,20150531,1
6,20150606,1
6,20150607,1
6,20150613,1
6,20150614,1
6,20150620,1
6,20150621,1
6,20150627,1
6,20150628,1
6,20150703,1
6,20150704,1
6,20150705,1
6,20150711,1
6,20150712,1
6,20150718,1
6,20150719,1
6,20150725,1
6,20150726,1
6,20150801,1
6,20150802,1
6,20150808,1
6,20150809,1
6,20150815,1
6,20150816,1
6,20150822,1
6,20150823,1
6,20150829,1
6,20150830,1
6,20150905,1
6,20150906,1
6,20150907,1
6,20150912,1
6,20150913,1
6,20150919,1
6,20150920,1
6,20150926,1
6,20150927,1
6,20151003,1
6,20151004,1
6,20151010,1
6,20151011,1
6,20151017,1
6,20151018,1
6,20151024,1
6,20151025,1
6,20151031,1
6,20151101,1
6,20151107,1
6,20151108,1
6,20151114,1
6,20151115,1
7,20150530,1
7,20150531,1
7,20150606,1
7,20150607,1
7,20150613,1
7,20150614,1
7,20150620,1
7,20150621,1
7,20150627,1
7,20150628,1
7,20150704,1
7,20150705,1
