trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1,00:05:00,00:05:10,252,1,0,0
1,00:06:00,00:06:10,251,2,0,0
1,00:07:00,00:07:10,250,3,0,0
1,00:09:00,00:09:10,249,4,0,0
1,00:15:00,00:15:10,247,6,0,0
1,00:18:00,00:18:10,246,7,0,0
1,00:20:00,00:20:10,245,8,0,0
1,00:22:00,00:22:10,244,9,0,0
1,00:24:00,00:24:10,243,10,0,0
1,00:27:00,00:27:10,242,11,0,0
1,00:29:00,00:29:10,241,12,0,0
1,00:33:00,00:33:10,240,13,0,0
2,00:39:00,00:39:10,252,1,0,0
2,00:40:00,00:40:10,251,2,0,0
2,00:43:00,00:43:10,249,4,0,0
2,00:49:00,00:49:10,247,6,0,0
2,00:52:00,00:52:10,246,7,0,0
2,00:54:00,00:54:10,245,8,0,0
2,00:56:00,00:56:10,244,9,0,0
2,00:58:00,00:58:10,243,10,0,0
2,01:01:00,01:01:10,242,11,0,0
2,01:03:00,01:03:10,241,12,0,0
2,01:07:00,01:07:10,240,13,0,0
3,01:36:00,01:36:10,252,1,0,0
3,01:37:00,01:37:10,251,2,0,0
3,01:40:00,01:40:10,249,4,0,0
3,01:46:00,01:46:10,247,6,0,0
3,01:49:00,01:49:10,246,7,0,0
3,01:51:00,01:51:10,245,8,0,0
3,01:53:00,01:53:10,244,9,0,0
3,01:55:00,01:55:10,243,10,0,0
3,01:58:00,01:58:10,242,11,0,0
3,02:00:00,02:00:10,241,12,0,0
3,02:04:00,02:04:10,240,13,0,0
4,02:36:00,02:36:10,252,1,0,0
4,02:37:00,02:37:10,251,2,0,0
4,02:40:00,02:40:10,249,4,0,0
4,02:46:00,02:46:10,247,6,0,0
4,02:49:00,02:49:10,246,7,0,0
4,02:51:00,02:51:10,245,8,0,0
4,02:53:00,02:53:10,244,9,0,0
4,02:55:00,02:55:10,243,10,0,0
4,02:58:00,02:58:10,242,11,0,0
4,03:00:00,03:00:10,241,12,0,0
4,03:04:00,03:04:10,240,13,0,0
5,03:36:00,03:36:10,252,1,0,0
5,03:37:00,03:37:10,251,2,0,0
5,03:40:00,03:40:10,249,4,0,0
5,03:46:00,03:46:10,247,6,0,0
5,03:49:00,03:49:10,246,7,0,0
5,03:51:00,03:51:10,245,8,0,0
5,03:53:00,03:53:10,244,9,0,0
5,03:55:00,03:55:10,243,10,0,0
5,03:58:00,03:58:10,242,11,0,0
5,04:00:00,04:00:10,241,12,0,0
5,04:04:00,04:04:10,240,13,0,0
6,04:36:00,04:36:10,252,1,0,0
6,04:37:00,04:37:10,251,2,0,0
6,04:38:00,04:38:10,250,3,0,0
6,04:40:00,04:40:10,249,4,0,0
6,04:46:00,04:46:10,247,6,0,0
6,04:49:00,04:49:10,246,7,0,0
6,04:51:00,04:51:10,245,8,0,0
6,04:53:00,04:53:10,244,9,0,0
6,04:55:00,04:55:10,243,10,0,0
6,04:58:00,04:58:10,242,11,0,0
6,05:00:00,05:00:10,241,12,0,0
6,05:04:00,05:04:10,240,13,0,0
7,05:05:00,05:05:10,252,1,0,0
7,05:06:00,05:06:10,251,2,0,0
7,05:07:00,05:07:10,250,3,0,0
7,05:09:00,05:09:10,249,4,0,0
7,05:14:00,05:14:10,248,5,0,0
7,05:15:00,05:15:10,247,6,0,0
7,05:18:00,05:18:10,246,7,0,0
7,05:20:00,05:20:10,245,8,0,0
7,05:22:00,05:22:10,244,9,0,0
7,05:24:00,05:24:10,243,10,0,0
7,05:27:00,05:27:10,242,11,0,0
7,05:29:00,05:29:10,241,12,0,0
7,05:33:00,05:33:10,240,13,0,0
8,05:35:00,05:35:10,252,1,0,0
8,05:36:00,05:36:10,251,2,0,0
8,05:37:00,05:37:10,250,3,0,0
8,05:39:00,05:39:10,249,4,0,0
8,05:44:00,05:44:10,248,5,0,0
8,05:45:00,05:45:10,247,6,0,0
8,05:48:00,05:48:10,246,7,0,0
8,05:50:00,05:50:10,245,8,0,0
8,05:52:00,05:52:10,244,9,0,0
8,05:54:00,05:54:10,243,10,0,0
8,05:57:00,05:57:10,242,11,0,0
8,05:59:00,05:59:10,241,12,0,0
8,06:03:00,06:03:10,240,13,0,0
9,05:50:00,05:50:10,252,1,0,0
9,05:51:00,05:51:10,251,2,0,0
9,05:52:00,05:52:10,250,3,0,0
9,05:54:00,05:54:10,249,4,0,0
9,05:59:00,05:59:10,248,5,0,0
9,06:00:00,06:00:10,247,6,0,0
9,06:03:00,06:03:10,246,7,0,0
9,06:05:00,06:05:10,245,8,0,0
9,06:07:00,06:07:10,244,9,0,0
9,06:09:00,06:09:10,243,10,0,0
9,06:12:00,06:12:10,242,11,0,0
9,06:14:00,06:14:10,241,12,0,0
9,06:18:00,06:18:10,240,13,0,0
10,06:03:00,06:03:10,252,1,0,0
10,06:04:00,06:04:10,251,2,0,0
10,06:05:00,06:05:10,250,3,0,0
10,06:07:00,06:07:10,249,4,0,0
10,06:12:00,06:12:10,248,5,0,0
10,06:13:00,06:13:10,247,6,0,0
10,06:16:00,06:16:10,246,7,0,0
10,06:18:00,06:18:10,245,8,0,0
10,06:20:00,06:20:10,244,9,0,0
10,06:22:00,06:22:10,243,10,0,0
10,06:25:00,06:25:10,242,11,0,0
10,06:27:00,06:27:10,241,12,0,0
10,06:31:00,06:31:10,240,13,0,0
11,06:18:00,06:18:10,252,1,0,0
11,06:19:00,06:19:10,251,2,0,0
11,06:20:00,06:20:10,250,3,0,0
11,06:22:00,06:22:10,249,4,0,0
11,06:27:00,06:27:10,248,5,0,0
11,06:28:00,06:28:10,247,6,0,0
11,06:31:00,06:31:10,246,7,0,0
11,06:33:00,06:33:10,245,8,0,0
11,06:35:00,06:35:10,244,9,0,0
11,06:37:00,06:37:10,243,10,0,0
11,06:40:00,06:40:10,242,11,0,0
11,06:42:00,06:42:10,241,12,0,0
11,06:46:00,06:46:10,240,13,0,0
12,06:33:00,06:33:10,252,1,0,0
12,06:34:00,06:34:10,251,2,0,0
12,06:35:00,06:35:10,250,3,0,0
12,06:37:00,06:37:10,249,4,0,0
12,06:42:00,06:42:10,248,5,0,0
12,06:43:00,06:43:10,247,6,0,0
12,06:46:00,06:46:10,246,7,0,0
12,06:48:00,06:48:10,245,8,0,0
12,06:50:00,06:50:10,244,9,0,0
12,06:52:00,06:52:10,243,10,0,0
12,06:55:00,06:55:10,242,11,0,0
12,06:57:00,06:57:10,241,12,0,0
12,07:01:00,07:01:10,240,13,0,0
13,06:43:00,06:43:10,252,1,0,0
13,06:44:00,06:44:10,251,2,0,0
13,06:45:00,06:45:10,250,3,0,0
