"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id","bikes_allowed","wheelchair_accessible"
1,1,1,"Lindelwold Special",1,1,1,1
1,1,2,"Lindelwold Special",1,1,1,1
1,1,3,"Lindelwold Special",1,1,1,1
1,1,4,"Lindelwold Special",1,1,1,1
1,1,5,"Lindelwold Special",1,1,1,1
1,1,6,"Lindelwold Special",1,1,1,1
1,1,7,"Lindenwold Local",1,1,1,1
1,1,8,"Lindenwold Local",1,1,1,1
1,1,9,"Lindenwold Local",1,1,1,1
1,1,10,"Lindenwold Local",1,1,1,1
1,1,11,"Lindenwold Local",1,1,1,1
1,1,12,"Lindenwold Local",1,1,1,1
1,1,13,"Lindenwold Local",1,1,1,1
1,1,14,"Lindenwold Local",1,1,1,1
1,1,15,"Lindenwold Local",1,1,1,1
1,1,16,"Lindenwold Local",1,1,1,1
1,1,17,"Lindenwold Local",1,1,1,1
1,1,18,"Lindenwold Local",1,1,1,1
1,1,19,"Lindenwold Local",1,1,1,1
1,1,20,"Lindenwold Local",1,1,1,1
1,1,21,"Lindenwold Local",1,1,1,1
1,1,22,"Lindenwold Local",1,1,1,1
1,1,23,"Lindenwold Local",1,1,1,1
1,1,24,"Lindenwold Local",1,1,1,1
1,1,25,"Lindenwold Local",1,1,1,1
1,1,26,"Lindenwold Local",1,1,1,1
1,1,27,"Lindenwold Local",1,1,1,1
1,1,28,"Lindenwold Local",1,1,1,1
1,1,29,"Lindenwold Local",1,1,1,1
1,1,30,"Lindenwold Local",1,1,1,1
1,1,31,"Lindenwold Local",1,1,1,1
1,1,32,"Lindenwold Local",1,1,1,1
1,1,33,"Lindenwold Local",1,1,1,1
1,1,34,"Lindenwold Local",1,1,1,1
1,1,35,"Lindenwold Local",1,1,1,1
1,1,36,"Lindenwold Local",1,1,1,1
1,1,37,"Lindenwold Local",1,1,1,1
1,1,38,"Lindenwold Local",1,1,1,1
1,1,39,"Lindenwold Local",1,1,1,1
1,1,40,"Lindenwold Local",1,1,1,1
1,1,41,"Lindenwold Local",1,1,1,1
1,1,42,"Lindenwold Local",1,1,1,1
1,1,43,"Lindenwold Local",1,1,1,1
1,1,44,"Lindenwold Local",1,1,1,1
1,1,45,"Lindenwold Local",1,1,1,1
1,1,46,"Lindenwold Local",1,1,1,1
1,1,47,"Lindenwold Local",1,1,1,1
1,1,48,"Lindenwold Local",1,1,1,1
1,1,49,"Lindenwold Local",1,1,1,1
1,1,50,"Lindenwold Local",1,1,1,1
1,1,51,"Lindenwold Local",1,1,1,1
