trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,04:43:00,04:43:00,10,1,0,0,0.0000
1,04:52:00,04:52:00,2,2,0,0,5.8924
1,05:03:00,05:03:00,39,3,0,0,16.4295
1,05:14:00,05:14:00,55,4,0,0,27.2915
1,05:27:00,05:27:00,9,5,0,0,40.2494
1,05:35:00,05:35:00,71,6,0,0,46.3121
1,05:45:00,05:45:00,28,7,0,0,53.5360
1,05:52:00,05:52:00,43298,8,0,0,57.3989
1,06:17:00,06:17:00,1,9,0,0,67.6532
2,04:43:00,04:43:00,10,1,0,0,0.0000
2,04:52:00,04:52:00,2,2,0,0,5.8924
2,05:03:00,05:03:00,39,3,0,0,16.4295
2,05:14:00,05:14:00,55,4,0,0,27.2915
2,05:27:00,05:27:00,9,5,0,0,40.2494
2,05:35:00,05:35:00,71,6,0,0,46.3121
2,05:45:00,05:45:00,28,7,0,0,53.5360
2,05:52:00,05:52:00,43298,8,0,0,57.3989
2,06:17:00,06:17:00,1,9,0,0,67.6532
3,06:13:00,06:13:00,10,1,0,0,0.0000
3,06:22:00,06:22:00,2,2,0,0,5.8924
3,06:33:00,06:33:00,39,3,0,0,16.4295
3,06:44:00,06:44:00,55,4,0,0,27.2915
3,06:57:00,06:57:00,9,5,0,0,40.2494
3,07:04:00,07:04:00,71,6,0,0,46.3121
3,07:15:00,07:15:00,28,7,0,0,53.5360
3,07:22:00,07:22:00,43298,8,0,0,57.3989
3,07:46:00,07:46:00,1,9,0,0,67.6532
4,06:13:00,06:13:00,10,1,0,0,0.0000
4,06:22:00,06:22:00,2,2,0,0,5.8924
4,06:33:00,06:33:00,39,3,0,0,16.4295
4,06:44:00,06:44:00,55,4,0,0,27.2915
4,06:57:00,06:57:00,9,5,0,0,40.2494
4,07:04:00,07:04:00,71,6,0,0,46.3121
4,07:15:00,07:15:00,28,7,0,0,53.5360
4,07:22:00,07:22:00,43298,8,0,0,57.3989
4,07:46:00,07:46:00,1,9,0,0,67.6532
5,07:43:00,07:43:00,10,1,0,0,0.0000
5,07:52:00,07:52:00,2,2,0,0,5.8924
5,08:03:00,08:03:00,39,3,0,0,16.4295
5,08:14:00,08:14:00,55,4,0,0,27.2915
5,08:27:00,08:27:00,9,5,0,0,40.2494
5,08:35:00,08:35:00,71,6,0,0,46.3121
5,08:45:00,08:45:00,28,7,0,0,53.5360
5,08:52:00,08:52:00,43298,8,0,0,57.3989
5,09:17:00,09:17:00,1,9,0,0,67.6532
6,07:43:00,07:43:00,10,1,0,0,0.0000
6,07:52:00,07:52:00,2,2,0,0,5.8924
6,08:03:00,08:03:00,39,3,0,0,16.4295
6,08:14:00,08:14:00,55,4,0,0,27.2915
6,08:27:00,08:27:00,9,5,0,0,40.2494
6,08:35:00,08:35:00,71,6,0,0,46.3121
6,08:45:00,08:45:00,28,7,0,0,53.5360
6,08:52:00,08:52:00,43298,8,0,0,57.3989
6,09:17:00,09:17:00,1,9,0,0,67.6532
7,09:32:00,09:32:00,10,1,0,0,0.0000
7,09:41:00,09:41:00,2,2,0,0,5.8924
7,09:52:00,09:52:00,39,3,0,0,16.4295
7,10:03:00,10:03:00,55,4,0,0,27.2915
